"variableName","Labels","labelValues","fileFormat"
"tc3g15e2","Competition ISCED levels  programmes ISCED 2011 Level 3 voc or tech educ. prgs","TWO OR MORE OTHER SCHOOLS; ONE OTHER SCHOOL; NO OTHER SCHOOLS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g17a","Perc. stud. charac. Students [first language] diff. from instr. language - P","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g17b","Perc. stud. charac. Students with special needs - P","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g17c","Perc. stud. charac. Students from  socio-economically disadvantaged homes - P","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g17d","Perc. stud. charac. Students who are immigrants or with migrant background","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g17e","Perc. stud. charac. Students who are refugees - P","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g18","Presence school management team","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g19a","Represented on school management team  Principal","YES; NO; NOT APPLICABLE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g19b","Represented on school management team  Vice deputy/assistant principal","YES; NO; NOT APPLICABLE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g19c","Represented on school management team  Financial manager","YES; NO; NOT APPLICABLE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g19d","Represented on school management team  Department heads","YES; NO; NOT APPLICABLE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g19e","Represented on school management team  Teachers","YES; NO; NOT APPLICABLE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g19f","Represented on school management team   School governing board","YES; NO; NOT APPLICABLE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g19g","Represented on school management team  Parents or guardians","YES; NO; NOT APPLICABLE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g19h","Represented on school management team  Students","YES; NO; NOT APPLICABLE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g19i","Represented on school management team  Other","YES; NO; NOT APPLICABLE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20a1","Appointing or hiring teachers Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20a2","Appointing or hiring teachers Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20a3","Appointing or hiring teachers Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20a4","Appointing or hiring teachers School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20a5","Appointing or hiring teachers Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20b1","Dismissing or suspending teachers from employment Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20b2","Dismissing or suspending teachers from employment Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20b3","Dismissing or suspending teachers from employment Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20b4","Dismissing or suspending teachers from employment School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20b5","Dismissing or suspending teachers from employment Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20c1","Establish teachers starting salaries, includ setting payscales Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20c2","Establish tchrs starting salaries, incl setting payscales Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20c3","Establish tchrs starting salaries, incl setting payscales Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20c4","Establish tchrs starting salaries, incl setting payscales School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20c5","Establish tchrs starting salaries, incl setting payscales Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20d1","Determining teachers salary increases Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20d2","Determining teachers salary increases Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20d3","Determining teachers salary increases Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20d4","Determining teachers salary increases School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20d5","Determining teachers salary increases Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20e1","Deciding on budget allocations within the school Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20e2","Deciding on budget allocations within the school Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20e3","Deciding on budget allocations within the school Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20e4","Deciding on budget allocations within the school School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20e5","Deciding on budget allocations within the school Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20f1","Establishing student disciplinary policies and procedures Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20f2","Establishing student disciplinary policies and procedures Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20f3","Establishing student disciplinary policies and procedures Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20f4","Establishing student disciplinary policies and procedures School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20f5","Establishing student disciplinary policies and procedures Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20g1","Establishing student assessment policies Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20g2","Establishing student assessment policies Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20g3","Establishing student assessment policies Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20g4","Establishing student assessment policies School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20g5","Establishing student assessment policies Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20h1","Approving students for admission to the school Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20h2","Approving students for admission to the school Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20h3","Approving students for admission to the school Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20h4","Approving students for admission to the school School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20h5","Approving students for admission to the school Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20i1","Choosing which learning materials are used Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20i2","Choosing which learning materials are used Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20i3","Choosing which learning materials are used Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20i4","Choosing which learning materials are used School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20i5","Choosing which learning materials are used Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20j1","Determining course content, including nat regional  curricula  Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20j2","Determining course content, incl nat regional  curricula Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20j3","Determining course content, incl nat regional  curricula  Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20j4","Determining course content, incl nat regional  curricula  School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20j5","Determining course content, including nat regional  curricula  Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20k1","Deciding which courses are offered Principal","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20k2","Deciding which courses are offered Other members of SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20k3","Deciding which courses are offered Teachers not in SMT","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20k4","Deciding which courses are offered School gov. Board","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g20k5","Deciding which courses are offered Authority","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g21a","Perc. of time spent on prof.tasks Administrative tasks and meetings","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g21b","Perc. of time spent on prof.tasks Leadership tasks and meetings","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g21c","Perc. of time spent on prof.tasks Curric. and teach.-related tasks and meetings","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g21d","Perc. of time spent on prof.tasks Student interactions","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g21e","Perc. of time spent on prof.tasks Parent or guardian interactions","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g21f","Perc. of time spent on prof.tasks Interact. with comm., business and industry","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g21g","Perc. of time spent on prof.tasks Other","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22a","Engage I collaborated with teachers to solve classroom discipline problems","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22b","Engage I observed instruction in the classroom","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22c","Engage I provided feedback to teachers based on my observations","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22d","Engage Supporting co-operation among teachers to develop new teaching practices","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22e","Engage Ensuring teachers take responsibility for improving their tch skills","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22f","Engage Ensuring teachers feel responsible for their students learning outcomes","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22g","Engage I provided parents/guardians with info on sch and student performance","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22h","Engage I reviewed school administrative procedures and reports","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22i","Engage I resolved problems with the lesson timetable in this school","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22j","Engage I collaborated with principals from other sch on challenging work tasks","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g22k","Engage I worked on a professional development plan for this school","NEVER OR RARELY; SOMETIMES; OFTEN; VERY OFTEN; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g23a","Appraised by Principal","NEVER; LESS THAN ONCE EVERY TWO YEARS; ONCE EVERY TWO YEARS; ONCE PER YEAR; TWICE OR MORE PER YEAR; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g23b","Appraised by Other members of the school management team","NEVER; LESS THAN ONCE EVERY TWO YEARS; ONCE EVERY TWO YEARS; ONCE PER YEAR; TWICE OR MORE PER YEAR; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g23c","Appraised by Assigned mentors","NEVER; LESS THAN ONCE EVERY TWO YEARS; ONCE EVERY TWO YEARS; ONCE PER YEAR; TWICE OR MORE PER YEAR; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g23d","Appraised by Teachers (who are not part of the school management team )","NEVER; LESS THAN ONCE EVERY TWO YEARS; ONCE EVERY TWO YEARS; ONCE PER YEAR; TWICE OR MORE PER YEAR; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g23e","Appraised by External individuals or bodies","NEVER; LESS THAN ONCE EVERY TWO YEARS; ONCE EVERY TWO YEARS; ONCE PER YEAR; TWICE OR MORE PER YEAR; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24a1","Observations of classroom teaching External individuals or bodies","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24a2","Observations of classroom teaching Principal","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24a3","Observations of classroom teaching Member  school management team","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24a4","Observations of classroom teaching Assigned mentors","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24a5","Observations of classroom teaching Other teachers","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24a6","Observations of classroom teaching Not used in this school","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24b1","Student survey responses related to teaching External individuals or bodies","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24b2","Student survey responses related to teaching Principal","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24b3","Student survey responses related to teaching Member  school management team","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24b4","Student survey responses related to teaching Assigned mentors","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24b5","Student survey responses related to teaching Other teachers","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24b6","Student survey responses related to teaching Not used in this school","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24c1","Assessments of teachers content knowledge External individuals or bodies","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24c2","Assessments of teachers content knowledge Principal","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24c3","Assessments of teachers content knowledge Member  school management team","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24c4","Assessments of teachers content knowledge Assigned mentors","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24c5","Assessments of teachers content knowledge Other teachers","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24c6","Assessments of teachers content knowledge Not used in this school","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24d1","Students external results External individuals or bodies","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24d2","Students external results Principal","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24d3","Students external results Member  school management team","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24d4","Students external results Assigned mentors","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24d5","Students external results Other teachers","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24d6","Students external results Not used in this school","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24e1","School-based and classroom-based results external individuals or bodies - P","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24e2","School-based and classroom-based results Principal","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24e3","School-based and classroom-based results Member  school management team","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24e4","School-based and classroom-based results Assigned mentors","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24e5","School-based and classroom-based results Other teachers","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24e6","School-based and classroom-based results Not used in this school","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24f1","Self-assessments of teachers work External individuals or bodies","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24f2","Self-assessments of teachers work Principal","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24f3","Self-assessments of teachers work Member  school management team","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24f4","Self-assessments of teachers work Assigned mentors","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24f5","Self-assessments of teachers work Other teachers","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g24f6","Self-assessments of teachers work Not used in this school","CHECKED; NOT CHECKED; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g25a","Foll.app. Measures to remedy any weaknesses in teaching are discussed","NEVER; SOMETIMES; MOST OF THE TIME; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g25b","Foll.app. A development/training plan is developed","NEVER; SOMETIMES; MOST OF THE TIME; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g25c","Foll.app. Material sanctions i.e. reduced annual increases in pay are imposed","NEVER; SOMETIMES; MOST OF THE TIME; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g25d","Foll.app. A mentor is appointed to help the teacher improve his/her teaching","NEVER; SOMETIMES; MOST OF THE TIME; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g25e","Foll.app. A change in a teachers work responsibilities","NEVER; SOMETIMES; MOST OF THE TIME; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g25f","Foll.app. An increase in a teachers salary or a payment of a financial bonus","NEVER; SOMETIMES; MOST OF THE TIME; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g25g","Foll.app. A change in the likelihood of a teachers career advancement","NEVER; SOMETIMES; MOST OF THE TIME; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g25h","Foll.app. Dismissal or non-renewal of contract","NEVER; SOMETIMES; MOST OF THE TIME; ALWAYS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26a","Agree Providing staff with opportunities to participate in school decisions","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26b","Agree Providing parents w. opportunities to participate in school decisions","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26c","Agree Providing students w. opportunities to partic. in school decisions","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26d","Agree This school has a culture of shared responsibility for school issues","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26e","Agree I make the important decisions on my own","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26f","Agree Collaborative school culture which is characterised by mutual support","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26g","Agree School staff share common set of beliefs about teaching and learning","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26h","Agree Enforcing rules for student behaviour consistently throughout school","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26i","Agree This school encourages staff to lead new initiatives","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26j","Agree Teachers and students usually get on well with each other - P","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g26k","Agree Teachers can rely on each other - P","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g27a","Agree Teachers understand the schools curricular goals","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g27b","Agree Teachers succeed in implementing the schools curriculum","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g27c","Agree Teachers hold high expectations for student achievement","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g27d","Agree Parents/guardians support student achievement","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g27e","Agree Parents/guardians are involved in school activities","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
